x,y
-2.498436983408563350e+00,5.841900745566115383e-01
-2.513589213780007547e+00,5.728833746436952090e-01
-2.528357419416301433e+00,5.614123177556431532e-01
-2.542745356644271926e+00,5.497821151505357662e-01
-2.556756602681041990e+00,5.379979115597071093e-01
-2.570394559648371491e+00,5.260647833132653384e-01
-2.583662458702699283e+00,5.139877370167815762e-01
-2.596563364274668384e+00,5.017717087460825676e-01
-2.609100178411261073e+00,4.894215637266940977e-01
-2.621275645213276384e+00,4.769420964643782401e-01
-2.633092355360218129e+00,4.643380312930435183e-01
-2.644552750713978106e+00,4.516140233063230536e-01
-2.655659128992330587e+00,4.387746596393728438e-01
-2.666413648502393485e+00,4.258244610676037434e-01
-2.676818332923951438e+00,4.127678838895718627e-01
-2.686875076131820084e+00,3.996093220617279451e-01
-2.696585647046203071e+00,3.863531095534900595e-01
-2.705951694499533211e+00,3.730035228918372470e-01
-2.714974752108022749e+00,3.595647838655602890e-01
-2.723656243136058031e+00,3.460410623604088798e-01
-2.731997485341343790e+00,3.324364792974225380e-01
-2.739999695788789325e+00,3.187551096480319979e-01
-2.747663995621136834e+00,3.050009855008141701e-01
-2.754991414774515590e+00,2.911780991561743193e-01
-2.761982896627301898e+00,2.772904062266492442e-01
-2.768639302570982785e+00,2.633418287220389842e-01
-2.774961416492097044e+00,2.493362581000828637e-01
-2.780949949154697620e+00,2.352775582648928276e-01
-2.786605542473322039e+00,2.211695684969434139e-01
-2.791928773666922048e+00,2.070161062999295865e-01
-2.796920159284770335e+00,1.928209701512698104e-01
-2.801580159095980793e+00,1.785879421445884241e-01
-2.805909179834823242e+00,1.643207905138960312e-01
-2.809907578794646810e+00,1.500232720305847700e-01
-2.813575667263928271e+00,1.356991342657439814e-01
-2.816913713798398167e+00,1.213521177114800786e-01
-2.819921947324052880e+00,1.069859577562674302e-01
-2.822600560066246267e+00,9.260438651035418633e-02
-2.824949710300789896e+00,7.821113447844538213e-02
-2.826969524923455879e+00,6.380993207773313913e-02
-2.828660101834875817e+00,4.940451100038997789e-02
-2.830021512138345852e+00,3.499860542036639655e-02
-2.831053802148447929e+00,2.059595304512976122e-02
-2.831756995208936978e+00,6.200296013640943515e-03
-2.832131093318695836e+00,-8.184618357526068921e-03
-2.832176078564966559e+00,-2.255503697752528347e-02
-2.831891914363388718e+00,-3.690720053116208765e-02
-2.831278546504675475e+00,-5.123734317217321088e-02
-2.830335904008060233e+00,-6.554169235629173085e-02
-2.829063899781817604e+00,-7.981646881031151386e-02
-2.827462431091432027e+00,-9.405788663314054721e-02
-2.825531379836107693e+00,-1.082621535247121625e-01
-2.823270612634431131e+00,-1.224254711385441563e-01
-2.820679980720152358e+00,-1.365440355536821360e-01
-2.817759319649097094e+00,-1.506140378617686626e-01
-2.814508448818218600e+00,-1.646316648650640313e-01
-2.810927170797950403e+00,-1.785930998812397807e-01
-2.807015270478824043e+00,-1.924945236509998103e-01
-2.802772514033494478e+00,-2.063321153446195100e-01
-2.798198647695102181e+00,-2.201020536637248171e-01
-2.793293396352956037e+00,-2.338005180348065037e-01
-2.788056461966332833e+00,-2.474236898911929550e-01
-2.782487521797212260e+00,-2.609677540403989582e-01
-2.776586226462518958e+00,-2.744289001140823858e-01
-2.770352197806479122e+00,-2.878033240979925855e-01
-2.763785026593391869e+00,-3.010872299397040486e-01
-2.756884270021124017e+00,-3.142768312320558532e-01
-2.749649449055410422e+00,-3.273683529706188367e-01
-2.742080045584925685e+00,-3.403580333837307181e-01
-2.734175499396868325e+00,-3.532421258339590309e-01
-2.725935204972757653e+00,-3.660169007901281080e-01
-2.717358508103871806e+00,-3.786786478693325853e-01
-2.708444702325642606e+00,-3.912236779486877314e-01
-2.699193025170186111e+00,-4.036483253467662013e-01
-2.689602654235937251e+00,-4.159489500750591651e-01
-2.679672703073275208e+00,-4.281219401599526964e-01
-2.669402216884835699e+00,-4.401637140360903921e-01
-2.658790168039092627e+00,-4.520707230121485676e-01
-2.647835451395680550e+00,-4.638394538103554621e-01
-2.636536879440810832e+00,-4.754664311812927258e-01
-2.624893177231045982e+00,-4.869482205957345045e-01
-2.612902977143661598e+00,-4.982814310154677351e-01
-2.600564813431688549e+00,-5.094627177452490940e-01
-2.587877116581811521e+00,-5.204887853681761101e-01
-2.574838207473249430e+00,-5.313563907669065500e-01
-2.561446291335763625e+00,-5.420623462332787579e-01
-2.547699451505080148e+00,-5.526035226689209878e-01
-2.533595642974068252e+00,-5.629768528795684457e-01
-2.519132685738217692e+00,-5.731793349657287040e-01
-2.504308257934186877e+00,-5.832080358123820085e-01
-2.489119888770449318e+00,-5.930600946802946360e-01
